model_name,subset_name,precision,recall,f1_score,mrr,true_positives,false_negatives,total_rows,correct_at_position
Llama3,entire,0.55,0.55,0.55,0.5166666666666666,110,90,200,"{1: 98, 2: 8, 3: 4}"
Llama3,0-2000,0.6,0.6,0.6,0.6,9,6,15,"{1: 9, 2: 0, 3: 0}"
Llama3,2000-4000,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5422222222222223,43,32,75,"{1: 39, 2: 2, 3: 2}"
Llama3,0-4000,0.5777777777777777,0.5777777777777777,0.5777777777777777,0.5518518518518519,52,38,90,"{1: 48, 2: 2, 3: 2}"
Llama3,4000-8000,0.5316455696202531,0.5316455696202531,0.5316455696202531,0.4978902953586497,42,37,79,"{1: 37, 2: 4, 3: 1}"
Llama3_L2,entire,0.53,0.53,0.53,0.4883333333333333,106,94,200,"{1: 90, 2: 14, 3: 2}"
Llama3_L2,0-2000,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6333333333333333,10,5,15,"{1: 9, 2: 1, 3: 0}"
Llama3_L2,2000-4000,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5,41,34,75,"{1: 34, 2: 7, 3: 0}"
Llama3_L2,0-4000,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5222222222222223,51,39,90,"{1: 43, 2: 8, 3: 0}"
Llama3_L2,4000-8000,0.5316455696202531,0.5316455696202531,0.5316455696202531,0.5063291139240507,42,37,79,"{1: 38, 2: 4, 3: 0}"
Llama2,entire,0.52,0.52,0.52,0.4841666666666667,104,96,200,"{1: 91, 2: 9, 3: 4}"
Llama2,0-2000,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,7,8,15,"{1: 7, 2: 0, 3: 0}"
Llama2,2000-4000,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.48,40,35,75,"{1: 33, 2: 4, 3: 3}"
Llama2,0-4000,0.5222222222222223,0.5222222222222223,0.5222222222222223,0.4777777777777778,47,43,90,"{1: 40, 2: 4, 3: 3}"
Llama2,4000-8000,0.5189873417721519,0.5189873417721519,0.5189873417721519,0.4789029535864978,41,38,79,"{1: 35, 2: 5, 3: 1}"
Llama2_L2,entire,0.51,0.51,0.51,0.4775,102,98,200,"{1: 91, 2: 5, 3: 6}"
Llama2_L2,0-2000,0.6,0.6,0.6,0.6,9,6,15,"{1: 9, 2: 0, 3: 0}"
Llama2_L2,2000-4000,0.56,0.56,0.56,0.5266666666666666,42,33,75,"{1: 38, 2: 1, 3: 3}"
Llama2_L2,0-4000,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5388888888888889,51,39,90,"{1: 47, 2: 1, 3: 3}"
Llama2_L2,4000-8000,0.4936708860759494,0.4936708860759494,0.4936708860759494,0.45147679324894513,39,40,79,"{1: 33, 2: 4, 3: 2}"
Vicuna,entire,0.34,0.34,0.34,0.2858333333333334,68,132,200,"{1: 48, 2: 15, 3: 5}"
Vicuna,0-2000,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5,8,7,15,"{1: 7, 2: 1, 3: 0}"
Vicuna,2000-4000,0.28,0.28,0.28,0.2511111111111111,21,54,75,"{1: 17, 2: 3, 3: 1}"
Vicuna,0-4000,0.32222222222222224,0.32222222222222224,0.32222222222222224,0.29259259259259257,29,61,90,"{1: 24, 2: 4, 3: 1}"
Vicuna,4000-8000,0.3291139240506329,0.3291139240506329,0.3291139240506329,0.27004219409282704,26,53,79,"{1: 17, 2: 8, 3: 1}"
Vicuna_l2,entire,0.29,0.29,0.29,0.2375,58,142,200,"{1: 39, 2: 13, 3: 6}"
Vicuna_l2,0-2000,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.38888888888888895,7,8,15,"{1: 5, 2: 1, 3: 1}"
Vicuna_l2,2000-4000,0.25333333333333335,0.25333333333333335,0.25333333333333335,0.2,19,56,75,"{1: 12, 2: 4, 3: 3}"
Vicuna_l2,0-4000,0.28888888888888886,0.28888888888888886,0.28888888888888886,0.23148148148148145,26,64,90,"{1: 17, 2: 5, 3: 4}"
Vicuna_l2,4000-8000,0.27848101265822783,0.27848101265822783,0.27848101265822783,0.23839662447257381,22,57,79,"{1: 16, 2: 5, 3: 1}"
